,x,y
23,0x3b7603906aac3acdebe8ebb894cc803f8b11e83c,0x94d06f2c505f1034b5695632e66ce28ce5fb2e10
24,0xb919b64729538b2247afeb3271dff066c1918ef5,0x4ee93a67b8c58f46541bb68cb88cb7f3107d4691
25,0x63ee1a5f52856d8d593104c6a3f2a486c017b328,0x4f2c1aa29ac26def2169811beeaa1f97b0156335
26,0x5eb83bf63a26e2e870307bf2eafdcf5f53febf76,0xd55feba39b52868146c10065901efff9b615a5a9
27,0xf3a84d6e9dd7eb9ec1e48f3e326d91f18f0f7f89,0xc767bb25506790b5b43ec61d8bc786f76e4e34c5
28,0x8483d7312cc47ba3b1ad6efdd0713b3eafbaa279,0x030e71edf55ff1b560b7829d568c4ec6b89130fc
29,0x71eec012f89c8dc62626d669b6dc4d20c82f11e1,0x4de2473baa035d9068c301e08ce9567a921c1ab2
30,0x91a37fc3ce2ba4af516d373685bea44c561db842,0xc7f7999d4276b682aafc2962785542ca68c724bc
31,0x25cf3c1b4781961d56cee251b3c2f5699e8efeee,0x1e09c666a44fd81c616b063ee78f3dcd3261b47b
32,0x4282b7481afb1e3838e25c47d5905035861c4382,0x9c77f6f08ae4ceef24b26a223cf74aff1e2b5a23
33,0x05c453ea54bac3241c81240041b204650b2c14ec,0x9e1fc5ffc5da037290c7b1dd382c7d71cdc4ca59
34,0x56c603a188befbfd830ebf02fa2c9ea5e3ef8507,0x9a0a02ecbfbcc7f5ccf47d63e130ed7f185bb3ff
35,0x0700ba25d947d54d90fe0b15cbe75adcf6700342,0x4531d75143245c457c044fd0360b9b5d8670207f
36,0xa7004b87fb6d5fd72ea76bb7d6bd7ecc9ebf4cb1,0x36e267af80e84a3d1472cae725b2eb92f4e0ccc5
37,0xc022828410ca5498512c05ae058f1e983526432d,0xb5e782b47eafd468a4b1584a1168d87a2a370335
38,0xed7224fab49d10e3723b5dbf52a0fa3db670b788,0x5bdb75c461826551f48a6a84a4446b69ecc26294
39,0xa6b8e2a9005e03c125eaecc4f379de5f7e9241ab,0x7ab53b352f9c7b981c78f4b0d5ad36aa14366db6
40,0x0d76a084c719a3ad8bb14c56af50950405711bb5,0x382ac2e4607c049cd5556e686a4c156a8a0d80a7
41,0xe6179a53f2433b9434e5535127bfbe6ab1a6cef3,0xd7c820149bdc8b81a485b8a53e0b4905ccd98a67
42,0xaae62a229a91edf928437e12577ef16ac1c77a15,0x920f9ca74f3f0c99a147e99faa64eb4cec0f1aba
43,0x1fd840a2e265722aa75fda00d92ecadbe3d7aaa1,0x882a82c4f022f62271ea700eebd01ad547665c10
44,0x7b458acc98715943998470b5aa4c859d342db180,0x0fc5af84141857e00abc6fa5afd9b4e59c8fe97b
45,0xedfcc0dc0ccbb0e6df6164969b5496d2f3b7e26a,0x11266d2ec09c53bc4817dbf99e1054522d5cac0e
46,0x4edde31f414750248a4670fc48c6e1ff4ef82255,0x5b5bd04c6a23370216e1f4dd4583fed6351a691e
47,0x789aa7d2987c17ca76e0fdbd9be5d4e87130a1c0,0xceb72f4c4d793dd9d54eca2d0cccad09f0b67e2e
48,0x5e2c9116f968d0afe4e15c3f75269bd220b15757,0x2a14760143ac4aa07a461627567cfe5239d01714
49,0xf38f8518210b1e4f6f8482884c6398910ac4a20b,0x7c70d762235352050e6c42185ef5df1714f617e2
50,0xd0ac24ff3a4343e3b27413bc23dfd6af5dedc7ef,0x90b565504227c11ecbfd2060564a9276684f2b52
51,0x1d9da22f60e8a083e9a3cfda33e74d9310fea5e7,0xee22df0cb55982408aeed3b378f2529d34b87860
52,0x0e8dcdde8f9c9e1bed3b6f3b6735e222cd4087c5,0x81d286e1dbde299590588f4c56b609f6d5585416
53,0x0cbd5f945487c558e3e4f4358b6007950b5afa04,0xc1096e3044a63d259e48f4f9dae2a91e709a16bd
54,0x19886bcfba7bd2a872f4caa3a6c8fd61b7deeb45,0xda57f8b211528cd047d6d92dbc467310c9d0ba8a
55,0xee86e9eac747bde636a45964644743508392b67f,0x41ea79446b083ea5275f0cc521c1b460d08022da
56,0x8ee7f237eb7a336903c8287eee13e87200cdc2fa,0x8243c250ca5d06784f3a7d971ea3ea833060564e
57,0xb0ebe4564d26eb9bb7b74b329adfcf543381b5b4,0x14dec2f99ab8210b6428c642db6598d54621fcbc
58,0xfd0430f0ec21a44167c390aaae587e1722a61a9b,0xed7ddc36da067a0c7756809d176810ddcfd5855e
59,0xaa8cae7c71a54abf007d6c107fbc93499687bf1d,0x289c8a63d4242b5d6b00923811d5db3c7f4ee026
60,0xc45c19e43297f71b24bccfe620d55b3239d15b27,0x01fdbb8accc00d0522207b9872218b1eca3ae0ca
61,0x9afce3eef9a2417bac2a253f78a434bbc887798e,0x321e88bb4ff6c8dbda370fd45b7293a2550eaf76
62,0x81c13f34e6fbcccfc7908db62f2d6b39e3a533bf,0x4df161593ac03edf3c752cb24624ed7155aac7b1
63,0x95cc0303263f729b40a9192db04c2599f19c1caa,0x612c1d9744522ab5ca494ad73afc735e776de835
64,0x14874d3ebda68bb77b58320f4fc93806f5c6f0b1,0xd4c548c77a57f686c9d72883ee180670b9ae026b
65,0x9c748b35675da65e1395461b65d05c9014362ef7,0xd33d8ec13f3907a3d449bbe38a6a43b9be3271da
66,0xbd28f005101ef74383af9ed5768111a0500fd1a8,0xfdf394a72a82b85e8fc6840f051eee11b8700b7d
